SURVEY_NAM,YT_REGION,SURVEY_YEA,SURVEY_ID,S_SET_ID,SU_ID,In1Out0,SU_STRATUM,ALL_STRATA,CENTRLAT,CENTRLON,Sampled,BULL_SMALL,BULL_LARGE,LONE_COW,COW_1C,COW_2C,LONE_CALF,UNKNOWN_AG,MOOSE_TOTA,GMS,MMU_ID,AREA_KM,PERIM_KM,AllNeedleWet,LKStrat_01,DEM800to1200m,Fire1982to2012,NALC_DesShrMix,Fire8212_DEM800to1200
Upper Klondike Highway,Northern Tutchone,2017,3,3,1,1,2,L,63.65000000000,-136.95830000000,0,0,0,0,0,0,0,0,0,257,17,15.3,15.688,0.50612244898,0,0.107,0.012,0.409,0.012
Upper Klondike Highway,Northern Tutchone,2017,3,3,2,1,2,L,63.65000000000,-136.87500000000,0,0,0,0,0,0,0,0,0,257,17,15.3,15.688,0.41869918699,0,0.160,0.000,0.561,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,3,1,2,L,63.65000000000,-136.79170000000,0,0,0,0,0,0,0,0,0,257,17,15.3,15.688,0.51626016260,0,0.003,0.143,0.410,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,4,1,2,L,63.65000000000,-136.70830000000,1,2,0,3,0,1,0,0,8,257,17,15.3,15.688,0.21951219512,0,0.073,0.833,0.744,0.073
Upper Klondike Highway,Northern Tutchone,2017,3,3,5,1,1,H,63.65000000000,-136.45830000000,1,1,4,4,0,0,0,0,9,257,17,15.3,15.688,0.32653061225,1,0.356,0.535,0.649,0.341
Upper Klondike Highway,Northern Tutchone,2017,3,3,6,1,2,L,63.65000000000,-136.37500000000,0,0,0,0,0,0,0,0,0,257,17,15.3,15.688,0.82040816327,0,0.378,0.103,0.179,0.102
Upper Klondike Highway,Northern Tutchone,2017,3,3,7,1,1,H?,63.61670000000,-136.12500000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.94693877551,0,0.890,0.000,0.033,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,8,1,1,H?,63.61670000000,-136.20830000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.71255060729,0,0.701,0.000,0.174,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,9,1,2,L,63.61670000000,-136.29170000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.75102040816,0,0.120,0.000,0.250,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,10,1,2,L,63.61670000000,-136.37500000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.38056680162,0,0.783,0.377,0.622,0.373
Upper Klondike Highway,Northern Tutchone,2017,3,3,11,1,1,H,63.61670000000,-136.45830000000,1,0,0,1,0,0,0,0,1,257,17,15.4,15.697,0.06122448980,1,0.704,0.946,0.910,0.702
Upper Klondike Highway,Northern Tutchone,2017,3,3,12,1,1,H?,63.61670000000,-136.54170000000,1,0,0,0,1,0,0,0,2,257,17,15.4,15.697,0.19838056680,1,0.432,1.000,0.698,0.431
Upper Klondike Highway,Northern Tutchone,2017,3,3,13,1,1,H,63.61670000000,-136.62500000000,1,0,0,1,1,0,0,0,3,257,17,15.4,15.697,0.06122448980,1,0.494,0.793,0.947,0.359
Upper Klondike Highway,Northern Tutchone,2017,3,3,14,1,1,H?,63.61670000000,-136.70830000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.38775510204,1,0.635,0.209,0.615,0.188
Upper Klondike Highway,Northern Tutchone,2017,3,3,15,1,1,H,63.61670000000,-136.79170000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.80816326531,1,0.620,0.003,0.195,0.003
Upper Klondike Highway,Northern Tutchone,2017,3,3,16,1,1,H,63.61670000000,-136.87500000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.75303643725,1,0.513,0.000,0.256,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,17,1,1,H?,63.61670000000,-136.95830000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.74285714286,1,0.567,0.000,0.247,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,18,1,2,L?,63.61670000000,-137.04170000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,0.66938775510,0,0.580,0.000,0.335,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,19,1,2,L?,63.61670000000,-137.12500000000,0,0,0,0,0,0,0,0,0,257,17,15.4,15.697,1.00000000000,0,0.271,0.000,0.000,0.000
Upper Klondike Highway,Northern Tutchone,2017,3,3,20,1,2,L,63.58330000000,-137.29170000000,1,0,0,0,0,0,0,0,0,257,17,15.4,15.707,0.68548387097,0,0.000,0.115,0.291,0.000
