SURVEY_NAM,SURVEY_YEA,SURVEY_ID,S_SET_ID,SU_ID,ID,SUS_,SUS_ID,CENTRLAT,CENTRLON,AREA_KM,Sampled,BULL_SMALL,BULL_LARGE,LONE_COW,COW_1C,COW_2C,LONE_CALF,UNKNOWN_AG,MOOSE_TOTA,TotalMoose123,Phase_1,TKStrat_01,NALC_AllNeedleWet,DShMiFires815_Sub,Fire8212_DEM815_Sub
Upper Klondike Highway,2017,3,3,1,6338-13655,102986,75216,63.6500,-136.9583,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0.512,0.045,0.01126
Upper Klondike Highway,2017,3,3,2,6338-13650,102987,75215,63.6500,-136.8750,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0.148,0.00000
Upper Klondike Highway,2017,3,3,3,6338-13645,102988,75214,63.6500,-136.7917,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0.000,0.00000
Upper Klondike Highway,2017,3,3,4,6338-13640,102989,75213,63.6500,-136.7083,15.3,1,2,0,3,0,1,0,0,8,0,0,0,0.250,0.069,0.07052
Upper Klondike Highway,2017,3,3,5,6338-13625,102992,75210,63.6500,-136.4583,15.3,1,1,4,4,0,0,0,0,9,0,1,1,0.310,0.339,0.33748
Upper Klondike Highway,2017,3,3,6,6338-13620,102993,75209,63.6500,-136.3750,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0.121,0.10084
Upper Klondike Highway,2017,3,3,7,6336-13605,103536,74666,63.6167,-136.1250,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0.025,0.00000
Upper Klondike Highway,2017,3,3,8,6336-13610,103535,74667,63.6167,-136.2083,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.694,0.142,0.00000
Upper Klondike Highway,2017,3,3,9,6336-13615,103534,74668,63.6167,-136.2917,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.736,0.008,0.00000
Upper Klondike Highway,2017,3,3,10,6336-13620,103533,74669,63.6167,-136.3750,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0.581,0.37159
Upper Klondike Highway,2017,3,3,11,6336-13625,103532,74670,63.6167,-136.4583,15.4,1,0,0,1,0,0,0,0,1,1,0,1,0.069,0.695,0.70202
Upper Klondike Highway,2017,3,3,12,6336-13630,103531,74671,63.6167,-136.5417,15.4,1,0,0,0,1,0,0,0,2,0,0,1,0.200,0.427,0.43297
Upper Klondike Highway,2017,3,3,13,6336-13635,103530,74672,63.6167,-136.6250,15.4,1,0,0,1,1,0,0,0,3,1,1,1,0.069,0.476,0.35697
Upper Klondike Highway,2017,3,3,14,6336-13640,103529,74673,63.6167,-136.7083,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.384,0.455,0.18655
Upper Klondike Highway,2017,3,3,15,6336-13645,103528,74674,63.6167,-136.7917,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.825,0.098,0.00328
Upper Klondike Highway,2017,3,3,16,6336-13650,103527,74675,63.6167,-136.8750,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.720,0.142,0.07975
Upper Klondike Highway,2017,3,3,17,6336-13655,103526,74676,63.6167,-136.9583,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.751,0.211,0.09931
Upper Klondike Highway,2017,3,3,18,6336-13700,103525,74677,63.6167,-137.0417,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.700,0.167,0.00246
Upper Klondike Highway,2017,3,3,19,6336-13705,103524,74678,63.6167,-137.1250,15.4,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,0.00000
Upper Klondike Highway,2017,3,3,20,6334-13715,104062,74140,63.5833,-137.2917,15.4,1,0,0,0,0,0,0,0,0,0,1,0,0.698,0.000,0.00000
Upper Klondike Highway,2017,3,3,21,6334-13710,104063,74139,63.5833,-137.2083,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.480,0.163,0.00000
Upper Klondike Highway,2017,3,3,22,6334-13705,104064,74138,63.5833,-137.1250,15.4,1,0,0,0,0,0,0,0,0,0,1,1,0.639,0.439,0.11565
Upper Klondike Highway,2017,3,3,23,6334-13700,104065,74137,63.5833,-137.0417,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.753,0.445,0.24336
Upper Klondike Highway,2017,3,3,24,6334-13655,104066,74136,63.5833,-136.9583,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.480,0.561,0.24814
Upper Klondike Highway,2017,3,3,25,6334-13650,104067,74135,63.5833,-136.8750,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.603,0.348,0.02084
Upper Klondike Highway,2017,3,3,26,6334-13645,104068,74134,63.5833,-136.7917,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.463,0.296,0.00000
Upper Klondike Highway,2017,3,3,27,6334-13640,104069,74133,63.5833,-136.7083,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.911,0.024,0.00000
Upper Klondike Highway,2017,3,3,28,6334-13635,104070,74132,63.5833,-136.6250,15.4,0,0,0,0,0,0,0,0,0,0,0,1,0.607,0.122,0.10918
Upper Klondike Highway,2017,3,3,29,6334-13630,104071,74131,63.5833,-136.5417,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.457,0.42368
Upper Klondike Highway,2017,3,3,30,6334-13625,104072,74130,63.5833,-136.4583,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.293,0.17165
Upper Klondike Highway,2017,3,3,31,6334-13620,104073,74129,63.5833,-136.3750,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0.012,0.00819
Upper Klondike Highway,2017,3,3,32,6334-13615,104074,74128,63.5833,-136.2917,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.976,0.000,0.00000
Upper Klondike Highway,2017,3,3,33,6334-13610,104075,74127,63.5833,-136.2083,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0.073,0.00000
Upper Klondike Highway,2017,3,3,34,6334-13605,104076,74126,63.5833,-136.1250,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.069,0.00000
Upper Klondike Highway,2017,3,3,35,6334-13600,104077,74125,63.5833,-136.0417,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.686,0.016,0.00000
Upper Klondike Highway,2017,3,3,36,6332-13600,104617,73585,63.5500,-136.0417,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.000,0.00000
Upper Klondike Highway,2017,3,3,37,6332-13605,104616,73586,63.5500,-136.1250,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0.653,0.000,0.00000
