SURVEY_NAM,YT_REGION,SURVEY_YEA,SURVEY_ID,S_SET_ID,SU_ID,ID,SUS_,SUS_ID,IDLATDEG,IDLATMIN,IDLONDEG,IDLONMIN,CENTRLAT,CENTRLON,REGION,GMU,GMU2,USE_SCALE,SRC_SCALE,AREA_KM,Sampled,BULL_SMALL,BULL_LARGE,LONE_COW,COW_1C,COW_2C,LONE_CALF,UNKNOWN_AG,MOOSE_TOTA,TKStrat_01,ELC_Subalpine,Fire1982_2012,Fire8212_DEM815,NALC_Needle,NALC_Shrub,Subalp_Shrub_250buf,ELCSub_Fire8212DEM815,SubShrub250_Fire8212DEM815
Mayo,Northern Tutchone,2017,1,1,1,6408-13505,94908,83294,64,8,-135,5,64.1500,-135.1250,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.20833,0.45000,0.00000,0.00000,0.00000
Mayo,Northern Tutchone,2017,1,1,2,6408-13500,94909,83293,64,8,-135,0,64.1500,-135.0417,CND,YKT,YKT,50K,Geographic,15.1,0,0,0,0,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.10549,0.40506,0.00000,0.00000,0.00000
Mayo,Northern Tutchone,2017,1,1,3,6406-13455,95450,82752,64,6,-134,55,64.1167,-134.9583,CND,YKT,YKT,50K,Geographic,15.1,1,0,2,3,0,0,0,0,5,1,0.22917,0.05016,0.05016,0.46914,0.16872,0.16049,0.25386,0.16872
Mayo,Northern Tutchone,2017,1,1,4,6406-13500,95449,82753,64,6,-135,0,64.1167,-135.0417,CND,YKT,YKT,50K,Geographic,15.1,0,0,0,0,0,0,0,0,0,1,0.21499,0.00000,0.00000,0.77642,0.02439,0.02033,0.21499,0.02033
Mayo,Northern Tutchone,2017,1,1,5,6406-13505,95448,82754,64,6,-135,5,64.1167,-135.1250,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,1,0.36482,0.00000,0.00000,0.40586,0.27197,0.33473,0.36482,0.33473
Mayo,Northern Tutchone,2017,1,1,6,6406-13510,95447,82755,64,6,-135,10,64.1167,-135.2083,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,1,0.11470,0.00000,0.00000,0.43460,0.13080,0.11392,0.11470,0.11392
Mayo,Northern Tutchone,2017,1,1,7,6406-13515,95446,82756,64,6,-135,15,64.1167,-135.2917,CND,YKT,YKT,50K,Geographic,15.1,0,0,0,0,0,0,0,0,0,0,0.00000,0.04384,0.00000,0.30204,0.07755,0.00000,0.00000,0.00000
Mayo,Northern Tutchone,2017,1,1,8,6404-13530,95983,82219,64,4,-135,30,64.0833,-135.5417,CND,YKT,YKT,50K,Geographic,15.1,0,0,0,0,0,0,0,0,0,0,0.00000,0.01686,0.01686,0.60331,0.05785,0.00000,0.01686,0.01653
Mayo,Northern Tutchone,2017,1,1,9,6404-13515,95986,82216,64,4,-135,15,64.0833,-135.2917,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,1,0.33200,0.00000,0.00000,0.12863,0.19917,0.27801,0.33200,0.27801
Mayo,Northern Tutchone,2017,1,1,10,6404-13510,95987,82215,64,4,-135,10,64.0833,-135.2083,CND,YKT,YKT,50K,Geographic,15.1,1,0,3,6,0,0,0,0,9,1,0.78141,0.00000,0.00000,0.00823,0.62963,0.83539,0.78141,0.83539
Mayo,Northern Tutchone,2017,1,1,11,6404-13505,95988,82214,64,4,-135,5,64.0833,-135.1250,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,1,0,0,0,0,1,1,0.36259,0.00000,0.00000,0.00000,0.15702,0.22314,0.36259,0.22314
Mayo,Northern Tutchone,2017,1,1,12,6404-13500,95989,82213,64,4,-135,0,64.0833,-135.0417,CND,YKT,YKT,50K,Geographic,15.1,1,0,3,0,0,0,0,0,3,1,0.55636,0.00000,0.00000,0.25000,0.23361,0.36475,0.55636,0.36475
Mayo,Northern Tutchone,2017,1,1,13,6404-13455,95990,82212,64,4,-134,55,64.0833,-134.9583,CND,YKT,YKT,50K,Geographic,15.1,1,0,1,1,0,0,0,0,2,1,0.36834,0.00000,0.00000,0.00422,0.37975,0.38819,0.36834,0.38819
Mayo,Northern Tutchone,2017,1,1,14,6402-13455,96530,81672,64,2,-134,55,64.0500,-134.9583,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,1,0.25573,0.00000,0.00000,0.12757,0.06584,0.16461,0.25573,0.16461
Mayo,Northern Tutchone,2017,1,1,15,6402-13500,96529,81673,64,2,-135,0,64.0500,-135.0417,CND,YKT,YKT,50K,Geographic,15.1,1,1,0,0,1,0,0,0,3,1,0.39149,0.00000,0.00000,0.26446,0.13636,0.25207,0.39149,0.25207
Mayo,Northern Tutchone,2017,1,1,16,6402-13505,96528,81674,64,2,-135,5,64.0500,-135.1250,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,0,0,0,0,0,1,0.23316,0.00000,0.00000,0.00000,0.07563,0.16387,0.23316,0.16387
Mayo,Northern Tutchone,2017,1,1,17,6402-13510,96527,81675,64,2,-135,10,64.0500,-135.2083,CND,YKT,YKT,50K,Geographic,15.1,1,0,1,0,2,0,0,0,5,1,0.57423,0.00000,0.00000,0.00410,0.51639,0.65574,0.57423,0.65574
Mayo,Northern Tutchone,2017,1,1,18,6402-13515,96526,81676,64,2,-135,15,64.0500,-135.2917,CND,YKT,YKT,50K,Geographic,15.1,0,0,0,0,0,0,0,0,0,1,0.24817,0.00000,0.00000,0.22541,0.10656,0.18033,0.24817,0.18033
Mayo,Northern Tutchone,2017,1,1,19,6402-13520,96525,81677,64,2,-135,20,64.0500,-135.3750,CND,YKT,YKT,50K,Geographic,15.1,1,0,0,0,1,0,0,0,2,0,0.00000,0.41136,0.00000,0.02881,0.59671,0.00000,0.00000,0.00000
Mayo,Northern Tutchone,2017,1,1,20,6402-13525,96524,81678,64,2,-135,25,64.0500,-135.4583,CND,YKT,YKT,50K,Geographic,15.1,1,1,1,0,1,0,0,0,4,0,0.00000,0.93961,0.61754,0.02510,0.96234,0.00000,0.61754,0.59833
